1,80
1,77
1,92
2,14
2,12
2,00
1,63
1,81
2,09
1,97
1,95
1,71
1,81
1,78
1,81
1,88
1,99
2,10
1,99
1,46
2,24
2,07
1,80
1,94
1,95
1,79
1,69
1,88
1,73
1,62
1,79
1,69
1,59
1,88
1,64
2,07
1,62
1,85
2,01
1,89
2,00
1,78
1,94
2,02
2,21
1,84
1,93
2,05
1,86
2,14
2,01
1,89
2,02
2,00
2,16
1,58
1,97
2,05
1,97
1,99
1,76
2,02
1,95
2,01
1,54
2,07
1,97
1,89
2,08
1,90
2,02
2,13
2,06
1,62
2,14
2,09
1,92
2,21
1,95
1,56
2,05
2,16
2,15
2,01
1,98
2,09
1,91
1,97
1,82
1,99
2,17
1,87
2,09
2,01
2,00
1,90
1,79
1,53
2,11
1,59
